1,Status,Lift Name,Type,Manufacturer,Years of Operation,Capacity,Vertical Rise,Length,Horsepower,Line Speed,Chairs,Towers,Drive,Tension,Ride Time,Notes,Resort
4,Operating,Collins Stage 2,High Speed Quad,Doppelmayr CTEC,2004-,2400,1099,3569,500,1000,65,18,Bottom,Top,3.6,,alta-ski-area-ut/
5,Operating,Rustler,Triple,Garaventa CTEC,1999-,600,85,475,25,300,7,1,Bottom,Bottom,1.6,Top terminal is unmanned and monitored by closed circuit television,alta-ski-area-ut/
6,Operating,Snowpine,Quad,Skytrac,2018-,800,85,487,30,300,12,2,Top,Top,1.6,,alta-ski-area-ut/
7,Operating,Sugarloaf,High Speed Quad,Garaventa CTEC,2001-,2400,1371,5042,600,1000,102,22,Bottom,,5,,alta-ski-area-ut/
8,Operating,Sunnyside,High Speed Six,Leitner-Poma,2022-,2800,799,4719,600,1000,66,16,Bottom,Top,4.7,,alta-ski-area-ut/
9,Operating,Supreme,High Speed Quad,Leitner-Poma,2017-,2400,1224,5134,800,1000,109,16,Bottom,Dual,5.1,,alta-ski-area-ut/
10,Operating,Transfer Tow,Platter,Yan,1992-,2040,108,2482,75,833,105,8,Top,,3,,alta-ski-area-ut/
11,Operating,Wildcat,Double,Yan,1980-,1000,1226,4268,,500,134,17,Bottom,Bottom,8.5,Bottom station relocated downhill in 2004,alta-ski-area-ut/
12,Removed,Albion,Double,,1962-1981,,,,,,,,,,,,alta-ski-area-ut/
13,Removed,Cecret,Double,Yan,1981-2017,1320,327,2605,,475,97,12,Bottom,Bottom,5.5,,alta-ski-area-ut/
14,Removed,Collins,Double,Yan,1973-2004,1000,1100,4430,,500,,,Bottom,Bottom,8.9,,alta-ski-area-ut/
15,Removed,Collins,Single,Homemade,1938-1973,,,,,,,,,,,,alta-ski-area-ut/
16,Removed,Germania,Triple,Yan,1991-2004,,,,,,,,Bottom,Bottom,,Garaventa CTEC chairs and line gear,alta-ski-area-ut/
17,Removed,Germania,Double,Heron,1954-1974,,,,,,,,,,,,alta-ski-area-ut/
18,Removed,Germania,Double,Yan,1974-1991,1000,1121,3710,,480,,,,,7.7,,alta-ski-area-ut/
19,Removed,Neversweat,Double,Hall,1970-1999,1050,726,3867,,465,,,,,8.3,,alta-ski-area-ut/
20,Removed,Peruvian,J-Bar,,1939-1945,,,,,,,,,,,,alta-ski-area-ut/
21,Removed,Peruvian,Single,,1941-1954,,,,,,,,,,,,alta-ski-area-ut/
22,Removed,Rustler,Single,,1944-1952,,,,,,,,,,,,alta-ski-area-ut/
23,Removed,Sugarloaf,Double,Hall,1967-1978,600,1300,5111,,450,,24,,,11.4,,alta-ski-area-ut/
24,Removed,Sugarloaf,Double,Yan,1978-1992,1200,1305,5120,,475,,,,,10.8,,alta-ski-area-ut/
25,Removed,Sugarloaf,Triple,Yan,1992-2001,1800,1305,5120,,,,,Bottom,Bottom,,,alta-ski-area-ut/
26,Removed,Sunnyside,High Speed Triple,Garaventa CTEC,1999-2022,1800,810,4730,400,800,122,18,Bottom,,5.9,,alta-ski-area-ut/
27,Removed,Supreme,Double,Yan,1981-2001,1320,1078,3702,,523,,,Bottom,Bottom,7.1,,alta-ski-area-ut/
28,Removed,Supreme,Triple,Yan,2001-2017,1800,1078,3702,,,112,15,Bottom,Bottom,,"Relocated from Sugarloaf and retrofitted with Garaventa CTEC line gear, bullwheels, and chairs",alta-ski-area-ut/
