1,Status,Lift Name,Type,Manufacturer,Years of Operation,Capacity,Vertical Rise,Length,Horsepower,Line Speed,Chairs,Towers,Drive,Tension,Ride Time,Notes,Resort
5,Operating,Quarter Dollar Express,High Speed Quad,Doppelmayr CTEC,2007-,2400,181,2317,200,800,,7,Top,Bottom,2.9,,sun-valley-dollar-mountain-id/
6,Removed,Chair 1,Single,Homemade,1937-,,,,,,,,,,,,sun-valley-dollar-mountain-id/
7,Removed,Chair 2,Single,Homemade,1938-,,,,,,,,,,,,sun-valley-dollar-mountain-id/
8,Removed,Dollar,Double,Yan,1977-2007,1200,637,2760,,475,,13,Top,Bottom,5.8,,sun-valley-dollar-mountain-id/
9,Removed,Quarter Dollar,Double,Hall,1969-2007,1200,159,1207,,465,,7,Top,Bottom,2.6,,sun-valley-dollar-mountain-id/
2,Operating,1,Double,Poma,,,,,,,34,6,Bottom,Top,,,sunburst-wi/
3,Operating,2,Double,Hall,,,,,,,47,7,Bottom,Bottom,,,sunburst-wi/
4,Operating,3,Double,Hall,,,,,,,45,7,Bottom,Bottom,,,sunburst-wi/
2,Operating,Red's,Quad,Doppelmayr,2016-,1400,1282,4084,300,450,107,16,Bottom,Bottom,9.1,,sundance-ut/
3,Operating,Flathead,Triple,Thiokol,1975-,1400,1115,2648,,500,83,14,Bottom,Bottom,5.3,,sundance-ut/
4,Operating,Jake's,Quad,Skytrac,2012-,1800,647,2702,200,450,72,15,Top,Top,6,Midstation,sundance-ut/
5,Operating,Outlaw Express,High Speed Quad,Doppelmayr,2021-,2400,1288,5005,700,1000,108,17,Top,,5,Midstation,sundance-ut/
6,Operating,Stairway,Quad,Doppelmayr,2021-,1200,435,996,100,450,24,5,Top,Top,2.2,,sundance-ut/
7,Operating,Wildwood,Quad,Doppelmayr,2022-,1800,575,2315,215,450,78,9,Top,Bottom,5.1,,sundance-ut/
8,Removed,Arrowhead,Triple,Yan,1985-2016,1800,1283,4115,,500,,17,Bottom,Bottom,8.2,,sundance-ut/
9,Removed,Mandan,Double,Hjorth Brothers,1965-1995,400,,2500,,,,18,,,,Midstation,sundance-ut/
10,Removed,Navajo,Double,SLI,1969-1995,1140,920,4300,,500,,,Bottom,Bottom,8.6,Midstation,sundance-ut/
11,Removed,Ray's,Quad,Garaventa CTEC,1995-2021,1800,1353,5260,400,450,185,33,Top,Bottom,11.7,2 Midstations,sundance-ut/
2,Operating,1 Barker Mountain Express,High Speed Quad,Yan,1987-,3000,1396,4902,800,1000,120,19,Bottom,Top,4.9,"Retrofitted with Poma terminal cladding, contours, chars, grips, and line gear",sunday-river-me/
3,Operating,2 South Ridge Express,High Speed Quad,Poma,1992-,2750,505,3074,300,800,92,14,Bottom,Dual,3.8,,sunday-river-me/
4,Operating,3 Quantum Leap,Triple,Hall,1992-,,,,,,,,Bottom,Bottom,,"Relocated from South Ridge, converted to a triple",sunday-river-me/
5,Operating,4 Locke Mountain,Triple,Borvig,1984-,1500,1394,4768,,500,,21,Bottom,Bottom,9.5,Midstation,sunday-river-me/
6,Operating,5 Alera Group Competition Lift,T-Bar,Doppelmayr,2019-,1200,864,2885,148,689,85,11,Bottom,Bottom,4.2,,sunday-river-me/
7,Operating,6 North Peak Express,High Speed Quad,Doppelmayr,1997-,2800,980,4153,600,1000,88,17,Top,Bottom,4.2,,sunday-river-me/
8,Operating,7 Chondola,Chondola 6/8,Doppelmayr CTEC,2008-,2330,1138,6427,800,1000,,22,Top,Bottom,6.4,,sunday-river-me/
9,Operating,8 Spruce Peak,Triple,Doppelmayr,2017-,1480,1207,4366,250,500,,15,Bottom,Bottom,8.7,,sunday-river-me/
10,Operating,9 White Cap,Quad,Yan,1987-,2000,898,3725,500,500,124,15,Bottom,Bottom,7.5,Has 1 Poma tower and Doppelmayr grips and hanger arms,sunday-river-me/
11,Operating,10 White Heat,Quad,Yan,1988-,2400,1294,3665,450,480,,16,Bottom,Bottom,7.6,,sunday-river-me/
12,Operating,11 Little White Cap,Quad,Yan,1988-,1800,602,3135,200,460,105,17,Bottom,Bottom,7,,sunday-river-me/
13,Operating,12 Aurora Peak,Quad,Yan,1991-,2400,1095,3483,296,480,140,15,Bottom,Bottom,7.3,Has Doppelmayr grips and hanger arms,sunday-river-me/
14,Operating,13 Jordan Mountain,Double,Garaventa CTEC,1994-,1600,342,1735,75,450,,10,Top,Top,3.9,Reused old Hall chairs,sunday-river-me/
15,Operating,14 Jordan 8,High Speed Eight,Doppelmayr,2022-,3200,1325,4760,1270,1200,60,15,Bottom,Bottom,4,Bubbles,sunday-river-me/
16,Operating,15 Oz,Quad,Doppelmayr,1995-,2400,1051,2954,400,475,93,13,Bottom,Bottom,6.2,,sunday-river-me/
17,Operating,19 Merrill Hill,Triple,Doppelmayr,2021-,1800,494,2037,150,500,42,8,Bottom,Bottom,4.1,,sunday-river-me/
18,Removed,North Peak,Triple,Borvig,1985-1997,1800,981,4205,,460,,,,,,,sunday-river-me/
19,Removed,South Ridge,Double,Hall,1981-1992,1200,503,3043,,500,,,,,,,sunday-river-me/
20,Removed,Barker Mountain,Double,Pullman-Berry,1971-1987,900,1400,4800,,,,,,,,,sunday-river-me/
21,Removed,5 Fall Line,Double,Borvig,1985-2008,1200,308,2030,,450,,10,Bottom,Bottom,4.5,,sunday-river-me/
22,Removed,7 South Ridge,Triple,Borvig,1986-2008,1800,547,3364,,500,,,Bottom,Bottom,6.7,,sunday-river-me/
23,Removed,,T-Bar,Hall,1963-,950,385,2535,,,,,,,,,sunday-river-me/
24,Removed,8 Spruce Peak,Triple,Borvig,1986-2016,1800,1211,4382,,500,177,17,Bottom,Bottom,8.8,,sunday-river-me/
25,Removed,14 Jordan Bowl Express,High Speed Quad,Doppelmayr,1994-2022,3000,1341,4715,700,1000,113,17,Bottom,Top,4.7,,sunday-river-me/
2,Operating,1 Mountain Top,Triple,Borvig,1977-,1800,436,1823,,450,73,14,Top,Bottom,4.1,,sundown-mountain-ia/
3,Operating,2 Mountain Top,Double,Borvig,1973-,1200,408,1665,,450,68,11,Top,Bottom,3.7,,sundown-mountain-ia/
4,Operating,4 Express,Quad,Borvig,1979-,2400,349,1428,,400,73,10,Top,Bottom,3.6,,sundown-mountain-ia/
5,Operating,5 Double,Double,Borvig,1993-,,,,,,31,3,Bottom,Bottom,,,sundown-mountain-ia/
6,Removed,3 Meadow,Triple,Borvig,1989-2006,,,,,,,,,,,,sundown-mountain-ia/
2,Operating,Tercero,Triple,Riblet,1987-,,500,,,,,21,Bottom,Top,10,"Relocated from Snowmass, CO",sunlight-co/
3,Operating,Primo,Double,Riblet,1966-,730,1760,7260,,500,,29,Top,Bottom,14.5,,sunlight-co/
4,Operating,Segundo,Double,Riblet,1973-,970,1160,4556,,500,,23,Top,Bottom,9.1,"Relocated from Aspen Mountain, CO with some Heron parts",sunlight-co/
5,Removed,Sunshine Meadow,Platter,Stadeli,1981-,,150,,,,,,,,3,,sunlight-co/
6,Removed,West,Double,Hall,1967-,400,445,2591,,465,,,,,5.6,Relocated from Glenwood Park. Was on the far right of the ski area. Never replaced,sunlight-co/
7,Removed,Beginner,Platter,Poma,1966-,600,96,500,,420,,,,,1.2,,sunlight-co/
2,Operating,Coal Miner,Triple,Yan,2007-,,,,,,,4,Top,Bottom,,"Relocated from Red Mountain, BC",sunridge-ab/
3,Operating,Parkview,Quad,BM Lifts,2017-,,,,,,,5,Bottom,Bottom,,"Relocated from Talisman, ON",sunridge-ab/
4,Removed,Orange,T-Bar,Skyway,1979-2017,1100,135,670,,400,,,Top,Top,1.7,,sunridge-ab/
5,Removed,Red,T-Bar,Skyway,1979-2007,800,126,625,,400,,,Top,Top,1.6,,sunridge-ab/
6,Removed,Yellow,T-Bar,Skyway,1979-2017,1000,110,650,,400,,3,Top,Top,1.6,,sunridge-ab/
2,Operating,Fort Apache,Triple,Yan,1982-,1800,628,5280,,450,216,18,Top,Bottom,11.7,,sunrise-park-az/
3,Operating,Geronimo,Triple,Yan,1982-,1800,869,4504,,450,191,15,Bottom,Bottom,10,,sunrise-park-az/
4,Operating,Pony,Double,Yan,1989-,,50,295,,,20,3,Top,Bottom,,,sunrise-park-az/
5,Operating,Rustler,Quad,Borvig,1989-,2000,871,3891,250,450,82,19,Bottom,Bottom,8.6,,sunrise-park-az/
6,Operating,Spirit Ridge,Quad,Borvig,1989-,2000,549,3887,250,450,82,14,Top,Top,8.6,,sunrise-park-az/
7,Operating,Sunrise Express,High Speed Quad,Doppelmayr,1997-,2500,1325,6684,700,1000,141,20,Bottom,Top,6.7,,sunrise-park-az/
8,Removed,B,Double,Riblet,1975-1989,1000,410,1628,,350,,,,,4.7,,sunrise-park-az/
9,Removed,C,Double,Riblet,1976-1989,1000,740,3208,,500,,,,,6.4,,sunrise-park-az/
10,Removed,Cyclone,Triple,Yan,1983-2017,1800,1150,7982,,450,352,32,Bottom,Bottom,17.7,"Midstation, retrofitted with Doppelmayr chairs",sunrise-park-az/
11,Removed,D,T-Bar,,-1989,,80,750,,,,,,,,,sunrise-park-az/
12,Removed,E,T-Bar,,,,500,,,,,,,,,,sunrise-park-az/
13,Removed,Eagle Feather,Triple,Yan,1985-2002,2000,674,3888,,500,,16,Top,Bottom,7.8,,sunrise-park-az/
14,Removed,Sunrise,Double,Heron-Poma,1970-1997,1000,1330,6810,,500,,,,,13.6,,sunrise-park-az/
2,Operating,Angel Express,High Speed Quad,Poma,1988-,2800,1243,5217,690,984,112,23,Bottom,Top,5.3,,sunshine-village-ab/
3,Operating,Great Divide Express,High Speed Quad,Poma,1996-,1800,1423,5600,450,1100,,21,Bottom,Dual,5.1,,sunshine-village-ab/
4,Operating,Goat's Eye Express,High Speed Quad,Poma,1995-,2400,1762,5235,700,1100,,16,Bottom,Dual,7.5,,sunshine-village-ab/
5,Operating,Gondola,Gondola 8,Poma,2001-,2800,1655,14894,2000,1200,165,38,Top,Bottom,12.4,2 midstations,sunshine-village-ab/
6,Operating,Jackrabbit,Quad,Poma,2000-,2400,266,912,150,400,,4,Bottom,Bottom,6.1,,sunshine-village-ab/
7,Operating,Standish Express,High Speed Quad,Leitner-Poma,2003-,2400,705,2845,400,1000,,10,Bottom,Dual,2.8,,sunshine-village-ab/
8,Operating,Strawberry Express,High Speed Quad,Doppelmayr CTEC,2010-,,,,,,45,10,Bottom,Top,,"Relocated from Whistler Blackcomb, BC",sunshine-village-ab/
9,Operating,Tee Pee Town LX,High Speed Quad,Doppelmayr,2015-,1200,1297,4397,449,1000,47,15,Bottom,Top,4.4,Bubble chairs with heated seats,sunshine-village-ab/
10,Operating,WaWa,Quad,Leitner-Poma,2002-,1950,599,2431,200,450,,8,Bottom,Bottom,5.4,,sunshine-village-ab/
11,Operating,Wolverine Express,High Speed Quad,Poma,2000-,2400,628,3948,400,1100,,14,Top,Dual,3.6,,sunshine-village-ab/
12,Removed,Angel,Double,Hall,1968-1988,1150,662,3874,,500,,,,,7.7,,sunshine-village-ab/
13,Removed,Assiniboine,T-Bar,Doppelmayr,1979-1995,1411,277,965,,489,,,,,2,,sunshine-village-ab/
14,Removed,Fireweed,T-Bar,Doppelmayr,1978-2000,1210,276,1686,,600,,,,,2.8,,sunshine-village-ab/
15,Removed,Gondola,Gondola 6,VonRoll,1979-2001,1800,1631,14039,,1000,,,,,14,Glacier CWA cabins. VR104 Grips,sunshine-village-ab/
16,Removed,Great Divide,Double,Hall,1970-1995,1100,1160,3970,,500,,,,,7.9,,sunshine-village-ab/
17,Removed,Mt. Standish,Double,Timberland-Ellicott,1965-2003,1200,670,2600,,450,,,,,5.8,"Rebuilt by Hall in late 1960's, then agin in 1985 by Mueller",sunshine-village-ab/
18,Removed,Strawberry,Triple,Hall,1974-2010,2100,454,2730,200,460,,,Bottom,Top,5.9,,sunshine-village-ab/
19,Removed,Tee Pee Town,Double,Mueller,1984-2015,1200,635,4100,,475,,,Bottom,Bottom,8.6,Partek Chairs,sunshine-village-ab/
20,Removed,WaWa T-bar,T-Bar,Doppelmayr,1978-2001,1300,538,2384,,600,,,,,4,Retrofitted by Doppelmayr in 1979,sunshine-village-ab/
21,Removed,Wheeler,Double,Mueller,1985-2000,1200,666,2600,,500,,,,,5.2,,sunshine-village-ab/
22,Removed,,Double,Mueller,1978-,1200,1282,4127,,500,,,,,8.3,,sunshine-village-ab/
23,Removed,,T-Bar,Hall,1964-,800,384,2145,,,,,,,,,sunshine-village-ab/
2,Operating,Double,Double,Borvig,1971-,1200,530,2500,,465,,13,Bottom,Top,5.4,,swain-ny/
3,Operating,Quad 1,Quad,Borvig,1979-,2400,,,,400,112,15,Bottom,Bottom,2.6,,swain-ny/
4,Operating,Quad 2,Quad,Borvig,1980-,2400,189,1037,,400,53,7,Bottom,Bottom,,,swain-ny/
5,Operating,Quad 3,Quad,Borvig,1984-,2100,505,2245,,400,97,10,Bottom,Bottom,5.6,,swain-ny/
6,Removed,80 Acre,T-Bar,,-1985,,,,,,,,,,,,swain-ny/
7,Removed,Brewer,T-Bar,Hall,1964-1979,1000,520,2332,,,,,,,,,swain-ny/
8,Removed,Clark,T-Bar,Hall,1957-1984,,,,,,,,,,,,swain-ny/
9,Removed,Lower Brewer,T-Bar,Hall,1963-1980,1000,231,1061,,,,,,,,,swain-ny/
2,Operating,Quad 80,Quad,Hall,1980-,2400,173,858,,362,,6,Bottom,Bottom,2.4,,swiss-valley-mi/
3,Operating,Quad 83,Quad,Hall,1983-,2400,99,666,,305,,6,Bottom,Bottom,2.2,,swiss-valley-mi/
4,Operating,Triple,Triple,Hall,1978-,1800,180,1157,,400,,8,Bottom,Bottom,2.9,,swiss-valley-mi/
5,Removed,,Platter,Poma,1976-,900,96,733,,414,,,,,1.8,,swiss-valley-mi/
6,Removed,,T-Bar,Hall,1971-,1150,102,880,,400,,,,,2.2,,swiss-valley-mi/
2,Operating,Eagle Rock,Quad,Garaventa CTEC,1995-,2400,510,1975,200,400,,10,Bottom,Bottom,4.9,,tahoe-donner-ca/
3,Operating,Snowbird,Triple,Skytrac,2018-,1200,234,1517,100,400,51,6,Bottom,Bottom,3.8,,tahoe-donner-ca/
4,Removed,Eagle Rock,Double,SLI,1971-1995,900,227,1650,,400,,,,,4.1,,tahoe-donner-ca/
5,Removed,Snowbird,Double,SLI,1971-2018,1100,536,3152,,450,,10,Bottom,Bottom,7,,tahoe-donner-ca/
2,Operating,Buttercup,Quad,Doppelmayr CTEC,2005-,2400,331,2405,75,500,34,11,Top,Bottom,4.8,,tamarack-resort-id/
3,Operating,Discovery,Quad,Doppelmayr CTEC,2004-,1200,105,1009,30,275,34,5,Bottom,Bottom,3.7,,tamarack-resort-id/
4,Operating,Rock Creek,Platter,Leitner-Poma,2004-,300,78,1051,67,350,,6,Bottom,Bottom,3,,tamarack-resort-id/
5,Operating,Summit Express,High Speed Quad,Leitner-Poma,2004-,1200,996,3694,400,1000,,12,Top,Dual,3.7,,tamarack-resort-id/
6,Operating,Tamarack Express,High Speed Quad,Leitner-Poma,2004-,1200,1839,8061,800,1000,125,24,Top,Dual,8.1,,tamarack-resort-id/
7,Operating,Wildwood Express,High Speed Quad,Doppelmayr,2019-,1800,1645,5316,600,1000,84,18,Top,Bottom,5.3,,tamarack-resort-id/
8,Removed,Wildwood Express,High Speed Quad,Doppelmayr CTEC,2005-2012,2400,1625,5417,700,1000,,18,Top,Bottom,5.4,,tamarack-resort-id/
2,Operating,1,High Speed Quad,Leitner-Poma,2018-,2400,1633,3770,600,1000,90,14,Top,Dual,3.8,,taos-nm/
3,Operating,2,Quad,Poma,1995-,1800,1066,3205,400,500,98,14,Bottom,Bottom,6.4,,taos-nm/
4,Operating,4,Quad,Poma,1992-,2400,1230,4436,400,500,138,19,Bottom,Bottom,8.9,,taos-nm/
5,Operating,7,Triple,Stadeli,1984-,1800,920,3100,,470,121,13,Top,Bottom,6.6,,taos-nm/
6,Operating,7A,Double,Stadeli,1993-,,,,,,37,6,Bottom,Bottom,,Relocated from 1,taos-nm/
7,Operating,8,Quad,Poma,1991-,2400,1216,4533,400,500,134,15,Bottom,Bottom,9.1,,taos-nm/
8,Operating,Gondolita,Pulse Gondola 6,Leitner-Poma,2017-,400,61,768,100,1000,6,4,Bottom,Bottom,0.8,,taos-nm/
9,Operating,Kachina Peak,Triple,Skytrac,2014-,1500,1095,2330,300,500,53,12,Bottom,Bottom,4.7,,taos-nm/
10,Operating,Pioneer,Triple,Yan,2012-,,,,,,,6,Top,Bottom,,"Relocated from Deer Valley, UT",taos-nm/
11,Operating,Rueggli,Triple,Skytrac,2017-,1500,130,971,75,400,32,5,Top,Top,2.4,,taos-nm/
12,Removed,1,Double,Stadeli,-1989,,,,,,,,,,,,taos-nm/
13,Removed,2,Double,Stadeli,1965-1995,800,1100,3380,,492,,,,,6.9,,taos-nm/
14,Removed,1 Al's Run,Quad,Poma,1989-2018,2400,1634,3740,500,480,,,Top,Top,7.8,,taos-nm/
15,Removed,3 Strawberry Hill,Double,Stadeli,1970-2017,1000,120,570,,350,,4,Bottom,Bottom,1.6,,taos-nm/
16,Removed,4 Kachina,Double,Pullman-Berry,1971-1992,,1208,4205,,440,,,,,9.6,,taos-nm/
17,Removed,5 High Five,Double,Stadeli,1973-2017,1200,1670,4191,,500,,,Top,Bottom,8.4,,taos-nm/
18,Removed,6 Winston,Double,Stadeli,1976-2017,1400,955,2793,,450,,,Top,Bottom,6.2,,taos-nm/
19,Removed,Rueggli,Double,Stadeli,1995-2017,,,,,,,,,,,,taos-nm/
20,Removed,,Platter,Poma,1966-,600,130,500,,420,,,,,1.2,,taos-nm/
21,Removed,,Platter,Poma,1967-,600,85,650,,420,,,,,1.5,,taos-nm/
2,Operating,1 Chondola,Chondola 4/4,Garaventa CTEC,1995-,2000,385,2910,300,800,,10,Bottom,Top,3.6,,telluride-co/
3,Operating,2 Thrill Hill,Platter,Poma,1985-,195,355,1425,,350,,,Bottom,Top,4,,telluride-co/
4,Operating,4 Village Express,High Speed Quad,Doppelmayr,1999-,2800,1244,6254,700,1000,,21,Top,Bottom,6.3,,telluride-co/
5,Operating,5 Polar Queen Express,High Speed Quad,Doppelmayr,1999-,2400,936,4912,500,1000,,15,Top,Bottom,4.9,Name changed from Palmyra to Polar Queen in 2008,telluride-co/
6,Operating,6 Apex,Triple,CTEC,1999-,1500,1144,2957,,500,,,Top,Bottom,6,Relocated from Village by Doppelmayr with added Doppelmayr lifting frames,telluride-co/
7,Operating,7 Lift 7,Double,SLI,1975-,1040,1838,4796,,500,,17,Top,Bottom,9.6,,telluride-co/
8,Operating,8 Oak Street,Double,SLI,1985-,900,1055,2686,,450,,13,Bottom,Bottom,5.5,Relocated from Upper Gorrono,telluride-co/
9,Operating,9 Plunge Express,High Speed Quad,Doppelmayr,2022-,2400,2119,6176,777,1000,,,,,6.2,,telluride-co/
10,Operating,10 Sunshine Express,High Speed Quad,Doppelmayr,1986-,1200,1750,10732,,984,,38,Bottom,Top,10.9,,telluride-co/
11,Operating,11 Ute Park Express,High Speed Quad,Doppelmayr,2001-,2200,274,3677,600,1000,,,,,3.7,,telluride-co/
12,Operating,12 Prospect Express,High Speed Quad,Doppelmayr,2001-,2400,1048,5077,500,1000,,,Top,,5.1,,telluride-co/
13,Operating,13 Lynx,Platter,Doppelmayr,2001-,585,34,701,,472,,,Bottom,Top,2,,telluride-co/
14,Operating,14 Gold Hill Express,High Speed Quad,Doppelmayr,2001-,2200,1475,3677,600,1000,,15,Bottom,,3.7,,telluride-co/
15,Operating,15 Revelation,Quad,Leitner-Poma,2008-,1200,799,1841,200,450,43,,Top,Top,4.1,,telluride-co/
16,Operating,Gondola Village Parking,Gondola 8,Garaventa CTEC,1996-,1200,62,2782,150,1000,,7,Top,Bottom,2.8,,telluride-co/
17,Operating,Mountain Village Gondola Stage I,Gondola 8,Garaventa CTEC,1996-,1200,1786,6030,400,1000,,19,Top,Bottom,6,,telluride-co/
18,Operating,Mountain Village Gondola Stage II,Gondola 8,CTEC,1992-,1200,1010,4115,300,1000,,11,Top,Bottom,4.1,,telluride-co/
19,Removed,1 Prospect Meadow,Double,SLI,1972-1995,1200,384,2921,75,450,,,,,6.5,,telluride-co/
20,Removed,3 Lower Gorrono,Double,SLI,1972-1999,1200,610,3586,100,450,,,,,8,,telluride-co/
21,Removed,4 Upper Gorrono,Double,SLI,1972-1985,1200,769,3741,125,500,,,,,7.5,,telluride-co/
22,Removed,4 Village,Triple,CTEC,1985-1999,1500,1262,6265,,500,,,,,12.5,,telluride-co/
23,Removed,5 Palmyra,Double,SLI,1972-1999,1200,938,5008,200,500,,,,,10,,telluride-co/
24,Removed,6 Apex,Double,SLI,1972-1999,1200,1024,2709,150,500,,,,,5.4,,telluride-co/
25,Removed,9 Plunge,Triple,CTEC,1985-2022,1200,2138,6260,,500,,27,Top,Bottom,12.5,"15 chairs removed in 2008 to compensate for the additional weight on the chair due to addition of footrests. Capacity goes from 1,200 people per hour to 1,042 pph. Spacing goes from 75' to 86.4 feet.",telluride-co/
2,Operating,Eclipse,Triple,Borvig,1987-,1530,622,3125,200,450,,11,Bottom,Bottom,6.9,Poma towers,tenney-mountain-nh/
3,Operating,Hornet,Double,Stadeli,1964-,800,1285,5985,,,,18,Bottom,Bottom,,,tenney-mountain-nh/
4,Operating,Platter Pull,Platter,Stadeli,1988-,,,,,,,5,Top,Bottom,,,tenney-mountain-nh/
5,Removed,Eclipse,Double,Heron-Poma,1970-1986,1200,260,1356,,400,,,,,3.4,,tenney-mountain-nh/
6,Removed,,T-Bar,Stadeli,1960-1970,600,220,985,32,500,20,,,,,,tenney-mountain-nh/
7,Removed,,T-Bar,Stadeli,1980-1987,450,97,960,,300,,,,,,,tenney-mountain-nh/
2,Operating,Kussy Express,High Speed Quad,Doppelmayr,1999-,2500,1040,4063,500,1000,,14,Top,Bottom,4.1,,terry-peak-sd/
3,Operating,Coeur Wharf Express,High Speed Quad,Doppelmayr,2012-,1800,984,3530,361,984,,13,Top,Bottom,3.6,,terry-peak-sd/
4,Operating,Surprise Express,High Speed Quad,Doppelmayr CTEC,2002-,2400,636,2519,400,1000,,9,Top,Bottom,2.5,,terry-peak-sd/
5,Operating,Stewart,Triple,Riblet,1985-,1200,232,1380,,300,,7,Bottom,Bottom,4.6,,terry-peak-sd/
6,Removed,Empress,Double,Riblet,1975-2012,1080,942,3320,125,500,117,14,Top,Bottom,6.6,,terry-peak-sd/
7,Removed,Beginner,Triple,Riblet,1996-2005,1200,79,586,30,300,28,4,,,2,,terry-peak-sd/
8,Removed,Ringer,Double,Ringer,1953-1967,,1150,4500,,,,,,,,,terry-peak-sd/
9,Removed,Blue Chair,Double,Miner-Denver,1967-1986,600,1075,4400,,500,,,,,8.8,,terry-peak-sd/
10,Removed,Yellow Chair,Quad,Riblet,1978-,1920,810,3210,,400,,,,,8,,terry-peak-sd/
11,Removed,Poma 1,Platter,Heron-Poma,1973-1985,450,384,1870,,450,,,,,4.2,,terry-peak-sd/
12,Removed,Poma 2,Platter,Poma,1974-1985,538,139,975,,422,,,,,2.3,,terry-peak-sd/
13,Removed,Blue Chair,Double,,1986-,,,,,,,,,,,,terry-peak-sd/
14,Removed,,Platter,Poma,1965-,600,195,1000,,450,,,,,2.2,,terry-peak-sd/
2,Operating,Big Bear,Double,SLI,1973-,990,912,3174,,500,,18,Bottom,Bottom,6.3,,teton-pass-mt/
3,Removed,Travois,Platter,Poma,1968-,600,412,1740,,,,,,,,,teton-pass-mt/
2,Operating,Main Line,Double,Partek,2008-,,,,,,,4,Bottom,Bottom,,,the-hideout-pa/
3,Removed,,Double,SLI,1971-2008,900,131,831,,350,,4,Bottom,Bottom,2.4,,the-hideout-pa/
2,Operating,North Face,Triple,Borvig,1984-,1500,143,632,,375,,4,Top,Bottom,1.7,,the-homestead-mi/
3,Operating,Sunnyside,Triple,Borvig,1984-,1530,129,840,,325,,6,Top,Bottom,2.6,,the-homestead-mi/
4,Operating,Whatta View,Double,Borvig,1984-,1015,201,841,,425,,6,Top,Bottom,2,,the-homestead-mi/
2,Operating,Double,Double,Borvig,1979-,1150,568,3324,,425,,15,Bottom,Bottom,7.8,Midstation,the-homestead-va/
3,Removed,,4 Person T-Bar,SLI,1965-,1800,150,1000,,,,,,,,,the-homestead-va/
4,Removed,,J-Bar,,,,,,,,,,,,,,the-homestead-va/
2,Operating,A,Double,Borvig,,,,,,,,4,Bottom,Bottom,,,the-mountain-top-at-grand-geneva-wi/
3,Operating,B,Double,Hall,,,,,,,,6,Bottom,Bottom,,,the-mountain-top-at-grand-geneva-wi/
4,Operating,C,Double,Hall,,,,,,,,5,Bottom,Bottom,,,the-mountain-top-at-grand-geneva-wi/
2,Operating,Double,Double,Borvig,,,,,,,30,4,Bottom,Bottom,,Partek chairs,the-rock-wi/
3,Removed,,Double,Hall,-2019,,,,,,,,,,,,the-rock-wi/
2,Operating,Armstrong Express,High Speed Quad,Poma,1998-,2000,1260,4107,700,1000,,14,Bottom,Dual,4.1,,the-summit-at-snoqualmie-wa/
3,Operating,Central Express,High Speed Quad,Poma,1998-,2400,945,3864,500,1000,82,14,Bottom,Dual,3.9,,the-summit-at-snoqualmie-wa/
4,Operating,Dodge Ridge,Double,Riblet,1967-,1200,575,2600,,,,17,Bottom,Top,,,the-summit-at-snoqualmie-wa/
5,Operating,East Peak,Triple,Riblet,2010-,,,,,,,25,Bottom,Bottom,,Relocated from Silver Fir,the-summit-at-snoqualmie-wa/
6,Operating,Easy Street,Double,Riblet,1972-,1200,324,1868,,350,,14,Bottom,Bottom,5.3,,the-summit-at-snoqualmie-wa/
7,Operating,Edelweiss,Double,Riblet,1967-,1000,1104,2683,,,,15,Bottom,Bottom,,,the-summit-at-snoqualmie-wa/
8,Operating,Gallery,Double,Riblet,1967-,1400,350,1650,,,,11,Bottom,Top,,,the-summit-at-snoqualmie-wa/
9,Operating,Hidden Valley,Triple,Doppelmayr,2022-,1800,545,1690,180,500,,,,,3.4,,the-summit-at-snoqualmie-wa/
10,Operating,Holiday,Quad,Doppelmayr,2019-,2370,261,1309,125,450,59,6,Bottom,Bottom,2.9,Loading carpet,the-summit-at-snoqualmie-wa/
11,Operating,Julie's,Double,Thiokol,1973-,1200,287,1530,,400,,8,Bottom,Bottom,3.8,,the-summit-at-snoqualmie-wa/
12,Operating,Little Thunder,Quad,Poma,1987-,2400,230,1567,100,400,74,6,Bottom,Bottom,3.9,,the-summit-at-snoqualmie-wa/
13,Operating,Pacific Crest,Quad,Garaventa CTEC,1997-,2400,695,2715,300,450,,13,Bottom,Bottom,6,,the-summit-at-snoqualmie-wa/
14,Operating,Rampart,Quad,Skytrac,2014-,2300,780,3030,350,500,,,Top,Top,6.1,,the-summit-at-snoqualmie-wa/
15,Operating,Reggie's,Double,Riblet,1970-,1340,260,1348,,350,,11,Bottom,Top,3.9,,the-summit-at-snoqualmie-wa/
16,Operating,Sessel,Double,Riblet,1967-,1200,511,1578,,,,9,Bottom,Top,,,the-summit-at-snoqualmie-wa/
17,Operating,Silver Fir Express,High Speed Quad,Leitner-Poma,2008-,2400,1041,4013,500,1000,,15,Bottom,Dual,4,,the-summit-at-snoqualmie-wa/
18,Operating,St. Bernard,Double,Riblet,1970-,1200,212,812,,450,,7,Bottom,Bottom,1.8,,the-summit-at-snoqualmie-wa/
19,Operating,Triple 60,Triple,CTEC,1983-,1800,693,2211,,450,97,14,Bottom,Bottom,4.9,,the-summit-at-snoqualmie-wa/
20,Operating,Wildside,Triple,Riblet,1974-,1500,692,2017,,450,,13,Bottom,Bottom,4.5,,the-summit-at-snoqualmie-wa/
21,Removed,360 Bowl,Double,Riblet,1966-1997,1200,706,2730,,450,,,,,6.1,,the-summit-at-snoqualmie-wa/
22,Removed,Alpine Bowl,Double,Riblet,-1998,,,,,,,,,,,,the-summit-at-snoqualmie-wa/
