Status,Lift Name,Type,Capacity,Vertical Rise,Length,Line Speed,Drive,Ride Time,Resort,State,Ikon,Epic,Price,Season,Beginner slopes,Intermediate slopes,Difficult slopes,Total slopes,Longest run,Lift capacity,Nightskiing,Summer skiing
Operating,Marge's,Triple,,,,,Bottom,,beaver mountain,ut,0,0,,,,,,,,,,
Operating,Belleayre Express,High Speed Quad,2400,1138,5196,1000,Bottom,5.2,belleayre,ny,0,0,,,,,,,,,,
Operating,Catskill Thunder,Gondola 8,2000,1339,6391,1000,Bottom,6.4,belleayre,ny,0,0,,,,,,,,,,
Operating,Lightning,Quad,1997,447,3512,450,Bottom,7.8,belleayre,ny,0,0,,,,,,,,,,
Operating,Lift 7,Triple,1800,806,2720,500,Bottom,5.4,belleayre,ny,0,0,,,,,,,,,,
Operating,Lift 8,Quad,2400,945,3635,450,Bottom,8.1,belleayre,ny,0,0,,,,,,,,,,
Operating,Mountain Top,Triple,1500,,,,Bottom,,berkshire east,ma,0,0,,,,,,,,,,
Operating,Summit,Quad,2400,936,3145,500,Bottom,6.3,berkshire east,ma,0,0,,,,,,,,,,
Operating,Top Notch,Double,1000,,800,,Bottom,,berkshire east,ma,0,0,,,,,,,,,,
Operating,Wilderness Peak,Quad,2000,,3000,,Bottom,,berkshire east,ma,0,0,,,,,,,,,,
Operating,Big Boulder,Triple,1800,374,1550,450,Bottom,3.4,big boulder,pa,0,1,,,,,,,,,,
Operating,Blue Heron,Quad,1800,219,1618,400,Bottom,4,big boulder,pa,0,1,,,,,,,,,,
Operating,Harmony,Quad,1800,386,1980,400,Bottom,5,big boulder,pa,0,1,,,,,,,,,,
Operating,Tannenbaum,Double,,,,,Bottom,,big boulder,pa,0,1,,,,,,,,,,
Operating,1,Double,1200,235,2175,450,Bottom,4.8,big powderhorn,mi,0,0,,,,,,,,,,
Operating,2,Double,1200,352,2548,450,Bottom,5.7,big powderhorn,mi,0,0,,,,,,,,,,
Operating,3,Double,1200,374,2436,450,Bottom,5.4,big powderhorn,mi,0,0,,,,,,,,,,
Operating,4,Double,1200,390,1670,,Bottom,,big powderhorn,mi,0,0,,,,,,,,,,
Operating,5,Double,1200,402,2097,450,Bottom,4.7,big powderhorn,mi,0,0,,,,,,,,,,
Operating,6,Double,1140,418,2210,,Bottom,,big powderhorn,mi,0,0,,,,,,,,,,
Operating,7,Double,800,162,1610,300,Bottom,5.4,big powderhorn,mi,0,0,,,,,,,,,,
Operating,8,Double,1100,359,2400,450,Bottom,5.3,big powderhorn,mi,0,0,,,,,,,,,,
Operating,9,Double,1000,331,2457,375,Bottom,6.6,big powderhorn,mi,0,0,,,,,,,,,,
Operating,Bear Back,Platter,,300,900,,Bottom,,big sky,mt,1,0,110,November - April,55,69,126,250,9,36283,No,No
Operating,Cabin,Triple,1200,136,1691,500,Top,3.4,big sky,mt,1,0,110,November - April,55,69,126,250,9,36283,No,No
Operating,Cascade,Triple,,448,3295,,Top,,big sky,mt,1,0,110,November - April,55,69,126,250,9,36283,No,No
Operating,Challenger,Triple,1232,1640,4380,500,Bottom,8.9,big sky,mt,1,0,110,November - April,55,69,126,250,9,36283,No,No
Operating,Dakota,Triple,,,,,Bottom,,big sky,mt,1,0,110,November - April,55,69,126,250,9,36283,No,No
Operating,Derringer,Quad,1500,429,2544,425,Bottom,6,big sky,mt,1,0,110,November - April,55,69,126,250,9,36283,No,No
Operating,Explorer,Double,1200,622,3770,500,Bottom,,big sky,mt,1,0,110,November - April,55,69,126,250,9,36283,No,No
Operating,Headwaters,Double,375,686,1421,375,Bottom,3.8,big sky,mt,1,0,110,November - April,55,69,126,250,9,36283,No,No
Operating,Highlands,Triple,509,967,3850,500,Bottom,7.7,big sky,mt,1,0,110,November - April,55,69,126,250,9,36283,No,No
Operating,Homer,Platter,129,50,1250,450,Bottom,2.8,big sky,mt,1,0,110,November - April,55,69,126,250,9,36283,No,No
Operating,Iron Horse,Quad,1800,921,3215,450,Bottom,7.1,big sky,mt,1,0,110,November - April,55,69,126,250,9,36283,No,No
Operating,Jayhawk,Triple,486,207,2554,500,Top,5.1,big sky,mt,1,0,110,November - April,55,69,126,250,9,36283,No,No
Operating,Lewis & Clark,High Speed Quad,1600,715,4145,886,Top,4.7,big sky,mt,1,0,110,November - April,55,69,126,250,9,36283,No,No
Operating,Little Thunder,Double,922,71,,,Bottom,,big sky,mt,1,0,110,November - April,55,69,126,250,9,36283,No,No
Operating,Lone Moose,Triple,,1284,4000,,Bottom,6.2,big sky,mt,1,0,110,November - April,55,69,126,250,9,36283,No,No
Operating,Powder Seeker,High Speed Six,1800,807,2701,1000,Bottom,2.7,big sky,mt,1,0,110,November - April,55,69,126,250,9,36283,No,No
Operating,Lone Peak Tram,Tram 15,200,1450,2828,1180,Bottom,2.4,big sky,mt,1,0,110,November - April,55,69,126,250,9,36283,No,No
Operating,Lone Tree,Quad,1500,650,1550,450,Bottom,3.4,big sky,mt,1,0,110,November - April,55,69,126,250,9,36283,No,No
Operating,Pony Express,Triple,1800,573,3115,500,Top,6.2,big sky,mt,1,0,110,November - April,55,69,126,250,9,36283,No,No
Operating,Ramcharger 8,High Speed Eight,3600,1160,4461,1000,Top,4.5,big sky,mt,1,0,110,November - April,55,69,126,250,9,36283,No,No
Operating,Sacajawea,Triple,1200,538,2638,500,Top,5.3,big sky,mt,1,0,110,November - April,55,69,126,250,9,36283,No,No
Operating,Shedhorn 4,High Speed Quad,1600,1487,4738,1000,Top,4.7,big sky,mt,1,0,110,November - April,55,69,126,250,9,36283,No,No
Operating,Six Shooter,High Speed Six,1800,1828,8700,1050,Bottom,8.3,big sky,mt,1,0,110,November - April,55,69,126,250,9,36283,No,No
Operating,Southern Comfort,High Speed Quad,1800,1250,6055,1000,Top,6.1,big sky,mt,1,0,110,November - April,55,69,126,250,9,36283,No,No
Operating,Stagecoach,Double,,,,,Top,,big sky,mt,1,0,110,November - April,55,69,126,250,9,36283,No,No
Operating,Swift Current 6,High Speed Six,3000,1657,8302,1180,Top,7,big sky,mt,1,0,110,November - April,55,69,126,250,9,36283,No,No
